Annee;Region;Province;Culture;Production (t);Stock;Disponibilite;Population;PDI;Pop_tot;Disponibilite/tete;Equivalent Kcal;Besoin Kcal
2018;Boucle du Mouhoun;Balé;SORGHO;55548;;55548;296750;0;352298;0,157673333;539242,8001;
2018;Boucle du Mouhoun;Banwa;SORGHO;56486;;56486;372067;0;428553;0,131806334;450777,6634;
2018;Boucle du Mouhoun;Kossi;SORGHO;39129;;39129;378353;0;417482;0,093726197;320543,5923;
2018;Boucle du Mouhoun;Mouhoun;SORGHO;120640;;120640;412549;0;533189;0,226261232;773813,4133;
2018;Boucle du Mouhoun;Nayala;SORGHO;40228;;40228;221193;0;261421;0,153882052;526276,6189;
2018;Boucle du Mouhoun;Sourou;SORGHO;55413;;55413;295305;0;350718;0,157998734;540355,6704;
2018;Cascades;Comoé;SORGHO;15973;;15973;645943;0;661916;0,024131461;82529,5959;
2018;Cascades;Léraba;SORGHO;4336;;4336;176502;0;180838;0,023977261;82002,23404;
2018;Centre;Kadiogo;SORGHO;26413;;26413;2854356;0;2880769;0,009168732;31357,06473;
2018;Centre Est;Boulgou;SORGHO;33159;;33159;766784;0;799943;0,041451703;141764,8257;
2018;Centre Est;Koulpélgo;SORGHO;17040;;17040;374239;0;391279;0,043549488;148939,248;
2018;Centre Est;Kouritenga;SORGHO;61401;;61401;466970;0;528371;0,116208119;397431,7667;
2018;Centre Nord;Bam;SORGHO;45260;;45260;387253;0;432513;0,104644253;357883,3469;
2018;Centre Nord;Namentenga;SORGHO;46457;;46457;462757;0;509214;0,091232763;312016,0483;
2018;Centre Nord;Sanmatenga;SORGHO;91763;1750;93513;837848;0;931361;0,100404677;343383,994;
2018;Centre Ouest;Boulkièmdé;SORGHO;70927;;70927;682747;0;753674;0,094108328;321850,4818;
2018;Centre Ouest;Sanguié;SORGHO;69059;;69059;399993;0;469052;0,147231011;503530,0564;
2018;Centre Ouest;Sissili;SORGHO;41547;;41547;298630;0;340177;0,122133478;417696,4933;
2018;Centre Ouest;Ziro;SORGHO;51341;;51341;262018;0;313359;0,163840834;560335,6534;
2018;Centre Sud;Bazèga;SORGHO;34508;;34508;311554;0;346062;0,099716236;341029,5265;
2018;Centre Sud;Nahouri;SORGHO;27625;;27625;221543;0;249168;0,110868972;379171,884;
2018;Centre Sud;Zoundweogo;SORGHO;25382;;25382;338830;0;364212;0,06969018;238340,4171;
2018;Est;Gnagna;SORGHO;90216;750;90966;579680;0;670646;0,135639369;463886,6406;
2018;Est;Gourma;SORGHO;43829;;43829;443115;0;486944;0,090008297;307828,3745;
2018;Est;Komandjoari;SORGHO;12163;;12163;122114;0;134277;0,09058141;309788,4224;
2018;Est;Kompienga;SORGHO;5518;;5518;125961;0;131479;0,041968679;143532,8836;
2018;Est;Tapoa;SORGHO;89495;;89495;506868;0;596363;0,150067995;513232,5446;
2018;Hauts Bassins;Houet;SORGHO;98561;;98561;1401805;0;1500366;0,065691305;224664,2619;
2018;Hauts Bassins;Kénédougou;SORGHO;44019;;44019;421563;0;465582;0,094546181;323347,9387;
2018;Hauts Bassins;Tuy;SORGHO;43759;;43759;335173;0;378932;0,115479822;394940,9921;
2018;Nord;Loroum;SORGHO;12337;500;12837;199654;0;212491;0,06041197;206608,9387;
2018;Nord;Passoré;SORGHO;52954;;52954;435834;0;488788;0,108337357;370513,7606;
2018;Nord;Yatenga;SORGHO;59393;1750;61143;762041;0;823184;0,074276225;254024,6895;
2018;Nord;Zondoma;SORGHO;26296;;26296;234620;0;260916;0,100783394;344679,2071;
2018;Plateau Central;Ganzourgou;SORGHO;42754;;42754;439833;0;482587;0,088593352;302989,2641;
2018;Plateau Central;Kourwéogo;SORGHO;28440;;28440;185098;0;213538;0,133184726;455491,7626;
2018;Plateau Central;Oubritenga;SORGHO;51524;;51524;324766;0;376290;0,136926307;468287,9694;
2018;Sahel;Oudalan;SORGHO;18805;;18805;288036;0;306841;0,061285813;209597,4788;
2018;Sahel;Séno;SORGHO;29631;2643;32274;374868;0;407142;0,079269641;271102,1707;
2018;Sahel;Soum;SORGHO;13564;520;14084;500999;0;515083;0,027343166;93513,6279;
2018;Sahel;Yagha;SORGHO;36060;;36060;231206;0;267266;0,134921763;461432,4306;
2018;Sud Ouest;Bougouriba;SORGHO;22222;;22222;144000;0;166222;0,133688681;457215,2904;
2018;Sud Ouest;Ioba;SORGHO;38018;;38018;259413;0;297431;0,127821243;437148,6496;
2018;Sud Ouest;Noumbiel;SORGHO;11460;;11460;100608;0;112068;0,102259343;349726,9515;
2018;Sud Ouest;Poni;SORGHO;29183;;29183;362641;0;391824;0,074479869;254721,1503;
2019;Boucle du Mouhoun;Balé;SORGHO;30998;;30998;297468;1476;328466;0,09437202;322752,3092;
2019;Boucle du Mouhoun;Banwa;SORGHO;47404;;47404;346989;786;394393;0,120194831;411066,3222;
2019;Boucle du Mouhoun;Kossi;SORGHO;50061;;50061;357089;37656;407150;0,122954685;420505,0227;
