,region_accueil,province_accueil,commune_accueil,province_depart,commune_depart,MASCULIN,FEMININ,annee_collecte,mois_num,total
0,Est,Gourma,Fada,Gourma,Fada,379,430,2019,9,809
1,Est,Gourma,Fada,Gourma,Matiacoali,407,472,2019,9,879
2,Est,Gourma,Fada,Komondjari,Gayeri,253,261,2019,9,514
3,Est,Gourma,Fada,Kompienga,Pama,69,73,2019,9,142
4,Est,Gourma,Fada,Soum,Kelbo,10,11,2019,9,21
5,Est,Gourma,Fada,Oudalan,Gorom-gorom,2,3,2019,9,5
6,Est,Gourma,Fada,Komondjari,Bartiebougou,5,8,2019,9,13
7,Est,Kompienga,Pama,Kompienga,Pama,202,196,2019,9,398
8,Est,Gnagna,Coalla,Soum,Arbinda,45,51,2019,9,96
9,Est,Gnagna,Coalla,Soum,Djibo,21,22,2019,9,43
10,Est,Komondjari,Gayeri,Komondjari,Gayeri,238,288,2019,9,526
11,Est,Gourma,Matiacoali,Gourma,Matiacoali,496,483,2019,9,979
12,Est,Kompienga,Pama,Sanmatenga,Barsalogho,17,15,2019,9,32
13,Est,Kompienga,Pama,Soum,Tongomayel,24,30,2019,9,54
14,Est,Gourma,Fada,Soum,Tongomayel,22,22,2019,9,44
15,Est,Gourma,Fada,Sanmatenga,Dablo,14,13,2019,9,27
16,Est,Komondjari,Gayeri,Komondjari,Bartiebougou,106,125,2019,9,231
17,Est,Komondjari,Gayeri,Soum,Arbinda,22,27,2019,9,49
18,Est,Komondjari,Gayeri,Komondjari,Foutouri,28,25,2019,9,53
19,Est,Komondjari,Gayeri,Soum,Tongomayel,9,6,2019,9,15
20,Est,Komondjari,Gayeri,Namentenga,Boulsa,4,2,2019,9,6
21,Est,Gourma,Matiacoali,Gourma,Matiacoali,667,662,2019,10,1329
22,Est,Komondjari,Gayeri,Komondjari,Gayeri,408,412,2019,10,820
23,Est,Komondjari,Gayeri,Komondjari,Foutouri,116,139,2019,10,255
24,Est,Gourma,Fada,Gourma,Fada,24,21,2019,10,45
25,Est,Kompienga,Pama,Soum,Arbinda,32,34,2019,10,66
26,Est,Kompienga,Pama,Kompienga,Pama,180,189,2019,10,369
27,Est,Kompienga,Pama,Gourma,Fada,69,75,2019,10,144
28,Est,Kompienga,Pama,Sanmatenga,Dablo,64,68,2019,10,132
29,Est,Komondjari,Gayeri,Komondjari,Bartiebougou,161,148,2019,10,309
30,Est,Komondjari,Gayeri,Kompienga,Kompienga,12,14,2019,10,26
